Date,Open,High,Low,Close,Adj Close,Volume
2020-06-01,72.269997,72.989998,71.959999,72.730003,67.776794,2640600
2020-06-02,72.650002,73.110001,71.629997,72.440002,67.506561,3751300
2020-06-03,72.900002,72.900002,71.610001,71.650002,66.770348,4535700
2020-06-04,71.419998,72.349998,70.589996,70.750000,65.931625,4985800
2020-06-05,71.169998,72.580002,70.290001,72.400002,67.469269,5976200
2020-06-08,71.940002,73.540001,71.760002,73.510002,68.503677,5033300
2020-06-09,73.290001,73.559998,72.139999,73.279999,68.289345,4608100
2020-06-10,73.739998,74.900002,73.430000,74.360001,69.295776,5726600
2020-06-11,73.849998,75.000000,72.820000,73.099998,68.121590,5547300
2020-06-12,73.589996,73.760002,72.360001,72.790001,67.832703,4357600
2020-06-15,72.360001,73.260002,71.739998,72.889999,67.925911,3350500
2020-06-16,73.730003,74.379997,72.739998,73.529999,68.522308,3034200
2020-06-17,73.800003,74.480003,73.540001,73.809998,68.783234,2410500
2020-06-18,73.739998,73.989998,73.190002,73.610001,68.596863,2975800
2020-06-19,74.699997,75.400002,73.339996,73.360001,68.363892,5842700
2020-06-22,73.389999,73.459999,72.720001,73.099998,68.121590,2220400
2020-06-23,73.339996,73.870003,72.800003,72.919998,67.953842,3489000
2020-06-24,72.589996,72.680000,71.760002,72.029999,67.124451,3243000
2020-06-25,72.110001,72.730003,71.260002,72.639999,67.692924,3379900
2020-06-26,72.660004,72.919998,71.209999,71.519997,66.649200,5402400
2020-06-29,71.889999,72.500000,71.889999,72.430000,67.497215,3176600
2020-06-30,72.589996,73.510002,72.269997,73.260002,68.270699,3556100
2020-07-01,73.260002,73.580002,72.970001,73.029999,68.056358,3286300
2020-07-02,73.639999,73.870003,73.070000,73.279999,68.289345,2658600
2020-07-06,73.720001,73.879997,72.879997,73.449997,68.447754,4026300
2020-07-07,73.190002,74.220001,73.180000,73.970001,68.932358,4043800
2020-07-08,74.059998,74.570000,73.739998,74.489998,69.416931,3166900
2020-07-09,74.059998,74.620003,73.230003,73.320000,68.326599,2916700
2020-07-10,73.269997,73.959999,72.690002,73.680000,68.662094,4418600
2020-07-13,73.629997,74.129997,73.250000,73.459999,68.457077,3142900
2020-07-14,73.300003,74.919998,73.279999,74.849998,69.752411,3181600
2020-07-15,75.000000,75.489998,74.360001,74.690002,69.603302,3270900
2020-07-16,74.800003,75.120003,74.199997,74.980003,69.873558,2557800
2020-07-17,74.919998,75.290001,74.379997,75.199997,70.492249,2871800
2020-07-20,74.970001,75.180000,73.889999,74.199997,69.554825,2134600
2020-07-21,74.360001,74.849998,73.970001,74.040001,69.404869,2920200
2020-07-22,73.589996,74.209999,72.610001,74.139999,69.498596,4239400
2020-07-23,74.889999,75.180000,74.160004,74.230003,69.582977,3868000
2020-07-24,74.730003,75.239998,73.970001,74.320000,69.667328,2630700
2020-07-27,74.099998,74.730003,74.000000,74.650002,69.976677,3182800
2020-07-28,74.919998,75.989998,74.750000,75.709999,70.970314,4035900
2020-07-29,75.580002,76.480003,75.529999,76.199997,71.429626,3186700
2020-07-30,75.870003,77.190002,75.720001,76.870003,72.057701,4858400
2020-07-31,76.610001,77.459999,75.809998,77.199997,72.367020,4346700
2020-08-03,76.699997,77.269997,76.500000,76.570000,71.776482,3127500
2020-08-04,76.529999,76.879997,76.029999,76.769997,71.963951,3410900
2020-08-05,76.790001,77.099998,75.949997,76.180000,71.410889,2730200
2020-08-06,75.919998,76.099998,75.599998,75.860001,71.110916,3156100
2020-08-07,75.830002,76.269997,75.599998,76.239998,71.467117,2968000
2020-08-10,76.500000,76.900002,76.260002,76.650002,71.851471,3407300
2020-08-11,76.709999,76.949997,75.809998,75.959999,71.204659,3398400
2020-08-12,76.360001,77.779999,76.260002,77.239998,72.404526,3844300
2020-08-13,76.980003,77.190002,76.519997,76.980003,72.160812,2964900
2020-08-14,76.889999,77.360001,76.660004,77.050003,72.226425,2538400
2020-08-17,76.860001,77.769997,76.830002,77.209999,72.376411,2762300
2020-08-18,77.230003,78.190002,76.940002,77.650002,72.788864,4286200
2020-08-19,77.860001,78.190002,77.680000,77.949997,73.070076,2470600
2020-08-20,77.830002,78.309998,77.550003,78.250000,73.351311,2009200
2020-08-21,78.360001,78.839996,77.879997,78.690002,73.763756,3405200
2020-08-24,78.809998,79.190002,78.629997,79.129997,74.176224,2796800
2020-08-25,79.300003,79.309998,78.470001,78.589996,73.670013,2374100
2020-08-26,78.279999,79.169998,78.019997,78.650002,73.726250,3476800
2020-08-27,78.989998,79.480003,78.830002,79.059998,74.110588,2208900
2020-08-28,79.000000,79.510002,78.440002,79.370003,74.401199,3039800
2020-08-31,79.199997,79.489998,78.919998,79.260002,74.298073,3272700
2020-09-01,79.150002,79.169998,77.800003,78.089996,73.201317,2968800
2020-09-02,78.129997,79.790001,78.010002,79.470001,74.494942,3405200
2020-09-03,79.620003,80.099998,77.080002,77.669998,72.807617,4486600
2020-09-04,77.529999,78.419998,76.339996,77.209999,72.376411,3643800
2020-09-08,77.199997,77.320000,75.570000,75.639999,70.904694,4816200
2020-09-09,76.459999,78.360001,76.459999,77.570000,72.713867,3128600
2020-09-10,77.110001,77.779999,76.260002,76.410004,71.626495,4165800
2020-09-11,76.739998,77.260002,76.410004,76.750000,71.945213,2736900
2020-09-14,76.970001,77.690002,76.949997,77.150002,72.320168,2529300
2020-09-15,77.220001,77.720001,76.919998,76.940002,72.123314,2093300
2020-09-16,77.230003,77.760002,76.870003,76.910004,72.095184,2498900
2020-09-17,76.580002,77.209999,76.169998,76.709999,71.907715,2525300
2020-09-18,76.300003,76.940002,75.279999,75.830002,71.082817,4563600
2020-09-21,75.320000,75.930000,74.349998,75.190002,70.482872,3004500
2020-09-22,75.239998,76.570000,75.220001,76.070000,71.307777,2852500
2020-09-23,76.169998,76.230003,75.029999,75.139999,70.436005,2962100
2020-09-24,75.300003,76.269997,74.959999,75.760002,71.017189,2385200
2020-09-25,75.389999,76.110001,75.330002,75.949997,71.195290,2803300
2020-09-28,76.730003,77.510002,76.419998,76.610001,71.813965,2586300
2020-09-29,76.669998,76.779999,75.849998,76.220001,71.448380,2076000
2020-09-30,76.580002,77.449997,76.410004,77.150002,72.320168,3962100
2020-10-01,77.529999,77.730003,76.739998,77.059998,72.235802,4048600
2020-10-02,76.589996,77.959999,76.459999,77.400002,72.554520,3540200
2020-10-05,77.500000,78.489998,77.430000,78.419998,73.510651,2768600
2020-10-06,78.550003,78.629997,77.199997,77.540001,72.685745,2640900
